"plot_id","contributor","easting_utm_zone12","northing_utm_zone12","fire_year","plot_size","sample_year","time_since_fire","count_PIPO","elevation","slope","aspect","distance_seed_source_PIPO","fire_severity_other","grass_cover","forb_cover","soil_cover","rock_cover","organic_cover","potr_cover"
"S11164","SLH",409517.0466,4017909.866,"1960",10,"2005",5,88.8888888888889,2695,6.457954,83.65981,22.36068,"tree_mortality_100%",29,6,2,3,60,32
"S12169","SLH",411407.0466,4023729.866,"1960",4,"2005",45,0,2176,11.39565,97.12502,98.99495,"tree_mortality_100%",6,1,11,17,65,0
"S12174","SLH",409187.0466,4020819.866,"1960",10,"2005",5,11.1111111111111,2602,18.94418,56.88866,92.19544,"tree_mortality_100%",68,6,3,2,21,0
"S12177","SLH",410687.0466,4020489.866,"1960",4,"2005",5,0,2480,34.54826,3.12213,63.24555,"tree_mortality_100%",13,7,2,18,60,38
"S12178","SLH",408327.0466,4018829.866,"1960",4,"2005",45,156.25,2713,13.08946,36.25384,40,"tree_mortality_100%",12,18,0,2,68,68
"S12179","SLH",409277.0466,4018409.866,"1960",10,"2005",5,0,2693,5.051153,45,120.4159,"tree_mortality_100%",11,0,0,0,89,71
"S12180","SLH",408887.0466,4018399.866,"1960",8,"2005",45,271.739130434783,2696,3.035724,45,40,"tree_mortality_100%",7,16,1,3,73,53
"S13183","SLH",412117.0466,4023429.866,"1960",4,"2005",45,0,2114,22.79182,59.62087,60.82763,"tree_mortality_100%",18,3,13,26,40,0
"S13185","SLH",411977.0466,4023279.866,"1960",4,"2005",45,0,2168,16.39468,102.2648,41.23106,"tree_mortality_100%",4,1,12,20,63,0
"S13187","SLH",411527.0466,4023009.866,"1960",4,"2005",45,0,2237,14.2036,110.2249,56.56854,"tree_mortality_100%",0,1,17,20,62,0
"S13188","SLH",408727.0466,4020349.866,"1960",8,"2005",45,135.869565217391,2692,3.199601,116.565,64.03124,"tree_mortality_100%",58,2,0,0,40,32
"S13189","SLH",408617.0466,4020099.866,"1960",2,"2005",45,510.204081632653,2692,9.520202,153.435,22.36068,"tree_mortality_100%",64,12,0,0,24,15
"S13190","SLH",408247.0466,4019019.866,"1960",4,"2005",45,234.375,2704,3.035724,135,44.72136,"tree_mortality_100%",30,4,4,6,56,26
"S13191","SLH",409427.0466,4018049.866,"1960",2,"2005",5,51.0204081632653,2696,8.049467,45,20,"tree_mortality_100%",17,3,0,2,78,36
"s14194","SLH",410907.0466,4023509.866,"1960",4,"2005",45,0,2203,26.67924,354.2894,67.08204,"tree_mortality_100%",25,1,1,18,55,0
"S14195","SLH",411147.0466,4023479.866,"1960",10,"2005",45,11.1111111111111,2236,16.05432,2.489553,50,"tree_mortality_100%",20,4,3,18,55,0
"S14197","SLH",408687.0466,4020199.866,"1960",2,"2005",45,306.122448979592,2684,8.530766,90,31.62278,"tree_mortality_100%",37,35,1,0,27,67
"S14198","SLH",409287.0466,4019779.866,"1960",2,"2005",5,0,2551,31.66192,342.2996,63.24555,"tree_mortality_100%",17,1,0,9,73,21
"S14199","SLH",408437.0466,4019189.866,"1960",4,"2005",45,0,2694,11.30993,90,78.10249,"tree_mortality_100%",27,9,0,0,64,61
"S15200","SLH",408947.0466,4020439.866,"1960",10,"2005",5,44.4444444444444,2680,19.58333,108.435,10,"tree_mortality_100%",17,4,8,9,62,11
"S15201","SLH",408797.0466,4019469.866,"1960",4,"2005",45,156.25,2673,15.82244,318.5763,10,"tree_mortality_100%",2,18,0,2,78,60
"S15202","SLH",408587.0466,4019399.866,"1960",2,"2005",45,0,2678,13.37805,86.98721,44.72136,"tree_mortality_100%",7,15,0,1,77,70
"S16203","SLH",408977.0466,4019649.866,"1960",2,"2005",45,0,2624,30.48513,3.652223,44.72136,"tree_mortality_100%",0,0,0,4,96,91
"S17204","SLH",409087.0466,4019919.866,"1960",2,"2005",5,0,2459,32.95595,19.13364,50,"tree_mortality_100%",6,2,0,12,80,54
"S17205","SLH",408967.0466,4019769.866,"1960",2,"2005",45,0,2559,32.40228,32.125,36.05551,"tree_mortality_100%",0,22,0,1,77,85
"S22001","SLH",410557.0466,4018519.866,"1960",10,"2005",5,200,2666,0,0,50.9902,"tree_mortality_100%",10,4,3,3,80,40
"S22002","SLH",411867.0466,4018899.866,"1960",10,"2005",5,111.111111111111,2563,3.199601,333.4349,60.82763,"tree_mortality_100%",44,7,7,6,36,0
